"","dept","course_num","title","time","dist","semester"
"1","accounting","ACCT 270","Foundations of Accounting and Valuation","not listed","not specified","both"
"2","aerospace-studies","USAF 101","Foundation of the U.S. Air Force","Th 9:30am-10:20am","not specified","fall"
"3","aerospace-studies","USAF 202","The Evolution of U.S. Air and Space Power","HTBA","not specified","spring"
"4","aerospace-studies","USAF 301","Air Force Leadership Studies","HTBA","not specified","fall"
"5","aerospace-studies","USAF 401","National Security Affairs and Preparation for Active Duty","HTBA","not specified","fall"
"6","aerospace-studies","HIST 221","Military History of the West since 1500","TTh 10:30am-11:20am","HU","fall"
"7","african-american-studies","AFAM 008","Aesthetics and Meaning in African Arts and Cultures","not listed","HU","spring"
"8","african-american-studies","AFAM 060","Significance of American Slavery","MW 4pm-5:15pm","WR","spring"
"9","african-american-studies","AFAM 110","Freedom and Identity in Black Cultures","MW 11:35am-12:50pm","HU","fall"
"10","african-american-studies","AFAM 120","The Black South","MW 1pm-2:15pm","HU","spring"
"11","african-american-studies","AFAM 140","Race and Gender in American Literature","TTh 11:35am-12:25pm","WR","spring"
"12","african-american-studies","AFAM 150","The Body in Art since 1945","MW 1pm-2:15pm","HU","spring"
"13","african-american-studies","AFAM 160","The Rise and Fall of Atlantic Slavery","TTh 1:30pm-2:20pm","HU","spring"
"14","african-american-studies","AFAM 162","African American History from Emancipation to the Present","MW 10:30am-11:20am","WR","fall"
"15","african-american-studies","AFAM 172","The Civil War and Reconstruction Era1845–1877","TTh 10:30am-11:20am","HU","spring"
"16","african-american-studies","AFAM 195","GandhiKingand the Politics of Nonviolence","TTh 11:35am-12:25pm","SO","fall"
"17","african-american-studies","AFAM 202","Life and Writings of Frederick Douglass","W 1:30pm-3:20pm","WR","spring"
"18","african-american-studies","AFAM 210","Politics and Culture of the U.S. Color Line","M 1:30pm-3:20pm","HU","spring"
"19","african-american-studies","AFAM 255","The American South1870 to the Present","T 1:30pm-3:20pm","WR","fall"
"20","african-american-studies","AFAM 268","Urban Politics and Policy","Th 1:30pm-3:20pm","SO","fall"
"21","african-american-studies","AFAM 270","PovertyPoliticsand Policy in the American City","W 3:30pm-5:20pm","SO","spring"
"22","african-american-studies","AFAM 273","Inequality in America","T 9:25am-11:15am","WR","fall"
"23","african-american-studies","AFAM 287","Postcolonial Theory and Literature","T 1:30pm-3:20pm","HU","spring"
"24","african-american-studies","AFAM 346","Black Atlantic Photography","Th 1:30pm-3:20pm","HU","fall"
"25","african-american-studies","AFAM 356","Representing Black Women through Image and Text","Th 2:30pm-4:20pm","HU","spring"
"26","african-american-studies","AFAM 377","Urban Narratives of Injustice in <em>The Wire</em>","T 1:30pm-3:20pm","HU","fall"
"27","african-american-studies","AFAM 385","PlantationPrisonand Ghetto in the United States","Th 9:25am-11:15am","HU","fall"
"28","african-american-studies","AFAM 399","Race and Capitalism","Th 1:30pm-3:20pm","SO","fall"
"29","african-american-studies","AFAM 410","Interdisciplinary Approaches to African American Studies","HTBA","WR","spring"
"30","african-american-studies","AFAM 423","American Artists and the African American Book","W 1:30pm-3:20pm","HU","spring"
"31","african-american-studies","AFAM 437","Ralph Ellison in Context","M 1:30pm-3:20pm","WR","spring"
"32","african-american-studies","AFAM 471","Independent Study: African American Studies","HTBA","not specified","fall"
"33","african-american-studies","AFAM 480","Senior Colloquium: African American Studies","not listed","not specified","fall"
"34","african-american-studies","AFAM 491","The Senior Essay","HTBA","not specified","spring"
"35","african-studies","AFST 008","Aesthetics and Meaning in African Arts and Cultures","not listed","HU","spring"
"36","african-studies","AFST 015","South African Writing after Apartheid","TTh 1pm-2:15pm","WR","fall"
"37","african-studies","AFST 180","Nigeria and Its Diaspora","HTBA","SO","spring"
"38","african-studies","AFST 333","African Encounters with Colonialism","TTh 1:30pm-2:20pm","HU","fall"
"39","african-studies","AFST 335","A History of South Africa","TTh 1:30pm-2:20pm","HU","spring"
"40","african-studies","AFST 340","Africa in the Era of the Slave Trade","TTh 9:25am-10:15am","HU","spring"
"41","african-studies","AFST 347","Post-Conflict Politics","W 1:30pm-3:20pm","SO","fall"
"42","african-studies","AFST 348","Islamic Social Movements","T 1:30pm-3:20pm","SO","spring"
"43","african-studies","AFST 353","Topics in World Music","TTh 11:35am-12:50pm","HU","fall"
"44","african-studies","AFST 355","China-Africa Encounters","not listed","SO","spring"
"45","african-studies","AFST 360","The Political Economy of AIDS in Africa","T 3:30pm-5:20pm","SO","fall"
"46","african-studies","AFST 373","ImperialismInsurgencyand State Building in the Middle East and North Africa","T 9:25am-11:15am","SO","spring"
"47","african-studies","AFST 389","Middle East Exceptionalism","HTBA","SO","spring"
"48","african-studies","AFST 400","Democratic Politics and Public Policy in Contemporary Africa","T 3:30pm-5:20pm","SO","fall"
"49","african-studies","AFST 401","Research Methods in African Studies","M 1:30pm-3:20pm","not specified","fall"
"50","african-studies","AFST 410","The Agrarian Question and Development in Africa","F 1:30pm-3:20pm","not specified","fall"
"51","african-studies","AFST 412","Postcolonial Theory and Literature","T 1:30pm-3:20pm","HU","spring"
"52","african-studies","AFST 420","The Politics of Development Assistance","TTh 11:35am-12:25pm","SO","fall"
"53","african-studies","AFST 430","Language Planning in Sub-Saharan Africa","HTBA","HU","spring"
"54","african-studies","AFST 435","West African Dance: Traditional to Contemporary","TTh 1:30pm-3:20pm","HU","fall"
"55","african-studies","AFST 447","The Rwandan Genocide in Comparative Context","HTBA","SO","spring"
"56","african-studies","AFST 449","Challenges to Realism in Contemporary African Fiction","Th 9:25am-11:15am","WR","fall"
"57","african-studies","AFST 464","The Economics of Africa","T 1:30pm-3:20pm","SO","fall"
"58","african-studies","AFST 471","Independent Study","HTBA","not specified","fall"
"59","african-studies","AFST 486","Slavery and the Slave Trade in Africa","W 1:30pm-3:20pm","WR","fall"
"60","african-studies","AFST 487","West African Islam: Jihad Tradition and Its Pacifist Opponents","W 2:30pm-4:20pm","WR","fall"
"61","african-studies","AFST 490","African Studies Colloquium","HTBA","HU","fall"
"62","african-studies","AFST 491","The Senior Essay","HTBA","not specified","both"
"63","african-studies","SWAH 110","Beginning Kiswahili I","not listed","L1","fall"
"64","african-studies","SWAH 120","Beginning Kiswahili II","HTBA","L2","spring"
"65","african-studies","SWAH 130","Intermediate Kiswahili I","not listed","L3","fall"
"66","african-studies","SWAH 140","Intermediate Kiswahili II","HTBA","L4","spring"
"67","african-studies","SWAH 150","Advanced Kiswahili I","MW 11:35am-12:50pm","L5","fall"
"68","african-studies","SWAH 160","Advanced Kiswahili II","HTBA","L5","spring"
"69","african-studies","SWAH 170","Topics in Kiswahili Literature","not listed","L5","both"
"70","african-studies","YORU 110","Beginning Yorùbá I","not listed","L1","fall"
"71","african-studies","YORU 120","Beginning Yorùbá II","HTBA","L2","spring"
"72","african-studies","YORU 130","Intermediate Yorùbá I","MTWThF 11:35am-12:25pm","L3","fall"
"73","african-studies","YORU 140","Intermediate Yorùbá II","HTBA","L4","spring"
"74","african-studies","YORU 150","Advanced Yorùbá I","not listed","L5","fall"
"75","african-studies","YORU 160","Advanced Yorùbá II","HTBA","L5","spring"
"76","african-studies","YORU 171","Topics in Yorùbá Literature and Culture","HTBA","L5","spring"
"77","african-studies","YORU 181","Advanced Topics in Yorùbá Literature and Culture","HTBA","L5","spring"
"78","african-studies","ZULU 110","Beginning isiZulu I","MTWThF 11:35am-12:25pm","L1","fall"
"79","african-studies","ZULU 120","Beginning isiZulu II","HTBA","L2","spring"
"80","african-studies","ZULU 130","Intermediate isiZulu I","MTWThF 10:30am-11:20am","L3","fall"
"81","african-studies","ZULU 140","Intermediate isiZulu II","HTBA","L4","spring"
"82","african-studies","ZULU 150","Advanced isiZulu I","HTBA","L5","fall"
"83","african-studies","ZULU 160","Advanced isiZulu II","HTBA","L5","spring"
"84","near-eastern-languages-civilizations","NELC 001","Egypt and Northeast Africa: A Multidisciplinary Approach","not listed","WR","spring"
"85","near-eastern-languages-civilizations","NELC 026","Rivers and Civilization","not listed","HU","fall"
"86","near-eastern-languages-civilizations","NELC 102","Introduction to the Middle East","MW 9am-10:15am","HU","fall"
"87","near-eastern-languages-civilizations","NELC 107","Buried Cities: TheraPompeiiand Herculaneum","MW 2:30pm-3:45pm","HU","fall"
"88","near-eastern-languages-civilizations","NELC 109","The Age of Akhenaton","not listed","HU","fall"
"89","near-eastern-languages-civilizations","NELC 116","Myth and Ritual in the Ancient Near East","TTh 10:30am-11:20am","WR","spring"
"90","near-eastern-languages-civilizations","NELC 167","Women in the Ancient World","MW 2:30pm-3:45pm","HU","spring"
"91","near-eastern-languages-civilizations","NELC 230","Mesopotamia's Literary Legacy","Th 9:25am-11:15am","HU","fall"
"92","near-eastern-languages-civilizations","NELC 320","From Babylon to Bush","Th 1:30pm-3:20pm","HU","spring"
"93","near-eastern-languages-civilizations","NELC 350","Formation of the Islamic State610 –750","TTh 11:35am-12:50pm","HU","fall"
"94","near-eastern-languages-civilizations","NELC 403","The Middle East between Crusaders and Mongols","T 1:30pm-3:20pm","WR","spring"
"95","near-eastern-languages-civilizations","NELC 404","Mamluk Egypt","Th 1:30pm-3:20pm","WR","spring"
"96","near-eastern-languages-civilizations","NELC 155","State and Society in Israel","MW 11:35am-12:50pm","HU","fall"
"97","near-eastern-languages-civilizations","NELC 157","Israeli Narratives","Th 1:30pm-3:20pm","HU","spring"
"98","near-eastern-languages-civilizations","NELC 399","Agriculture: OriginsEvolutionCrises","Th 3:30pm-5:20pm","SO","fall"
"99","near-eastern-languages-civilizations","EGYP 110","Introduction to Classical Hieroglyphic Egyptian I","TTh 9am-10:15am","L1","fall"
"100","near-eastern-languages-civilizations","EGYP 117","Elementary Biblical Coptic I","MWF 11:35am-12:25pm","L1","fall"
"101","near-eastern-languages-civilizations","EGYP 120","Introduction to Classical Hieroglyphic Egyptian II","TTh 9am-10:15am","L2","spring"
"102","near-eastern-languages-civilizations","EGYP 127","Elementary Biblical Coptic II","MWF 1:30pm-2:20pm","L2","spring"
"103","near-eastern-languages-civilizations","EGYP 131","Intermediate Egyptian: Literary Texts","M 3:30pm-5:30pm","L3","fall"
"104","near-eastern-languages-civilizations","HEBR 110","Elementary Modern Hebrew I","not listed","L1","fall"
"105","near-eastern-languages-civilizations","HEBR 120","Elementary Modern Hebrew II","not listed","L2","spring"
"106","near-eastern-languages-civilizations","HEBR 130","Intermediate Modern Hebrew I","not listed","L3","fall"
"107","near-eastern-languages-civilizations","HEBR 140","Intermediate Modern Hebrew II","not listed","L4","spring"
"108","near-eastern-languages-civilizations","HEBR 156","Dynamics of Israeli Culture","TTh 11:35am-12:50pm","L5","fall"
"109","near-eastern-languages-civilizations","HEBR 159","Conversational Hebrew: Israeli Media","TTh 2:30pm-3:45pm","L5","fall"
"110","near-eastern-languages-civilizations","HEBR 161","Israeli Popular Music","MW 1pm-2:15pm","L5","spring"
"111","near-eastern-languages-civilizations","ARBC 110","Elementary Modern Standard Arabic I","not listed","L1","fall"
"112","near-eastern-languages-civilizations","ARBC 120","Elementary Modern Standard Arabic II","not listed","L2","spring"
"113","near-eastern-languages-civilizations","ARBC 130","Intermediate Modern Standard Arabic I","not listed","L3","fall"
"114","near-eastern-languages-civilizations","ARBC 136","Intermediate Classical Arabic I","MW 11:35am-12:50pm","L3","fall"
"115","near-eastern-languages-civilizations","ARBC 140","Intermediate Modern Standard Arabic II","not listed","L4","spring"
"116","near-eastern-languages-civilizations","ARBC 146","Intermediate Classical Arabic II","MW 11:35am-12:50pm","L4","spring"
"117","near-eastern-languages-civilizations","ARBC 150","Advanced Modern Standard Arabic I","not listed","L5","fall"
"118","near-eastern-languages-civilizations","ARBC 151","Advanced Modern Standard Arabic II","MWF 11:35am-12:25pm","L5","spring"
"119","near-eastern-languages-civilizations","ARBC 161","Arabic Prose Narrative","MW 1pm-2:15pm","L5","spring"
"120","near-eastern-languages-civilizations","ARBC 162","Modern Arabic Political Thought","MW 1pm-2:15pm","L5","fall"
"121","near-eastern-languages-civilizations","ARBC 471","Directed Reading and Research","HTBA","not specified","both"
"122","near-eastern-languages-civilizations","PERS 110","Elementary Persian I","MTWThF 10:30am-11:20am","L1","fall"
"123","near-eastern-languages-civilizations","PERS 120","Elementary Persian II","MTWThF 10:30am-11:20am","L2","spring"
"124","near-eastern-languages-civilizations","PERS 130","Intermediate Persian I","MW 11:35am-12:50pm","L3","fall"
"125","near-eastern-languages-civilizations","PERS 140","Intermediate Persian II","MW 11:35am-12:50pm","L4","spring"
"126","near-eastern-languages-civilizations","PERS 151","Persian Culture and Media","HTBA","L5","spring"
"127","near-eastern-languages-civilizations","PERS 471","Directed Reading in Persian<br/>","HTBA","not specified","both"
"128","near-eastern-languages-civilizations","TKSH 110","Elementary Modern Turkish I","MTWThF 10:30am-11:20am","L1","fall"
"129","near-eastern-languages-civilizations","TKSH 120","Elementary Modern Turkish II","MTWThF 10:30am-11:20am","L2","spring"
"130","near-eastern-languages-civilizations","TKSH 130","Intermediate Turkish I","TTh 11:35am-12:50pm","L3","fall"
"131","near-eastern-languages-civilizations","TKSH 140","Intermediate Turkish II","TTh 11:35am-12:50pm","L4","spring"
"132","near-eastern-languages-civilizations","TKSH 150","Advanced Turkish I","MW 1pm-2:15pm","L5","fall"
"133","near-eastern-languages-civilizations","TKSH 151","Advanced Turkish II","MW 1pm-2:15pm","L5","spring"
"134","near-eastern-languages-civilizations","TKSH 471","Directed Reading and Research in Turkish","HTBA","not specified","both"
"135","near-eastern-languages-civilizations","NELC 471","Directed Reading and Research","HTBA","not specified","fall"
"136","near-eastern-languages-civilizations","NELC 492","The Senior Essay","HTBA","not specified","fall"
"137","american-studies","AMST 010","Islam in the United States","TTh 1pm-2:15pm","WR","spring"
"138","american-studies","AMST 012","Politics and Society in the United States after World War II","MW 2:30pm-3:45pm","HU","spring"
"139","american-studies","AMST 016","Literary Cities: New YorkChicagoSan Francisco","TTh 1pm-2:15pm","WR","spring"
"140","american-studies","AMST 060","Significance of American Slavery","MW 4pm-5:15pm","WR","spring"
"141","american-studies","AMST 111","Sexuality and Religion","TTh 11:35am-12:50pm","HU","spring"
"142","american-studies","AMST 115","Gender in a Transnational World","Th 9:25am-11:15am","SO","fall"
"143","american-studies","AMST 133","Introduction to American Indian History","MW 11:35am-12:50pm","WR","fall"
"144","american-studies","AMST 135","U.S. Lesbian and Gay History","TTh 10:30am-11:20am","HU","fall"
"145","american-studies","AMST 141","The American West","TTh 1:30pm-2:20pm","HU","fall"
"146","american-studies","AMST 160","The Rise and Fall of Atlantic Slavery","TTh 1:30pm-2:20pm","HU","spring"
"147","american-studies","AMST 161","Freedom and Identity in Black Cultures","MW 11:35am-12:50pm","HU","fall"
"148","american-studies","AMST 162","African American History from Emancipation to the Present","MW 10:30am-11:20am","WR","fall"
"149","american-studies","AMST 163","American Environmental History","TTh 11:35am-12:50pm","HU","spring"
"150","american-studies","AMST 190","The Formation of Modern American Culture1876–1919","TTh 11:35am-12:50pm","HU","fall"
"151","american-studies","AMST 193","Origins of U.S. Global Power","MW 10:30am-11:20am","HU","spring"
"152","american-studies","AMST 211","Race and Gender in American Literature","TTh 11:35am-12:25pm","WR","spring"
"153","american-studies","AMST 225","American Film Comedy","M 2:30pm-5:30pm","HU","fall"
"154","american-studies","AMST 257","Modern Apocalyptic Narratives","W 1:30pm-3:20pm","HU","spring"
"155","american-studies","AMST 258","Wilderness in the North American Imagination","W 1:30pm-3:20pm","HU","fall"
"156","american-studies","AMST 261","The American Novel since 1945","MW 1:30pm-2:20pm","HU","spring"
"157","american-studies","AMST 272","Asian American History1800 to the Present","MW 11:35am-12:25pm","HU","fall"
"158","american-studies","AMST 274","American Captivity Narratives","T 9:25am-11:15am","HU","fall"
"159","american-studies","AMST 282","American Literature from the Civil War to World War I","TTh 11:35am-12:25pm","HU","fall"
"160","american-studies","AMST 284","Introduction to Latino/a Studies","MW 1pm-2:15pm","HU","spring"
"161","american-studies","AMST 289","History of Housing in America","TTh 11:35am-12:50pm","HU","spring"
"162","american-studies","AMST 306","The Films of Martin Scorsese","T 6:30pm-10pm; Th 3:30pm-5:20pm","HU","fall"
"163","american-studies","AMST 307","SportsCivil Rightsand American Leadership","M 1:30pm-3:20pm","not specified","spring"
"164","american-studies","AMST 310","Interdisciplinary Approaches to African American Studies","HTBA","WR","spring"
"165","american-studies","AMST 335","Introduction to Native American and Indigenous Literatures","Th 9:25am-11:15am","HU","fall"
"166","american-studies","AMST 341","Race and Capitalism","Th 1:30pm-3:20pm","SO","fall"
"167","american-studies","AMST 344","The Nonhuman in Literature since 1800","W 1:30pm-3:20pm","WR","spring"
"168","american-studies","AMST 347","Hollywood Novel and Film","M 7pm-9pm; T 3:30pm-5:20pm","HU","fall"
"169","american-studies","AMST 351","Hollywood in the Twenty-First Century","TTh 10:30am-11:20am; T 7pm-9:30pm","HU","spring"
"170","american-studies","AMST 358","Animals in Modern American Fiction","T 1:30pm-3:20pm","HU","spring"
"171","american-studies","AMST 359","Urban Narratives of Injustice in <em>The Wire</em>","T 1:30pm-3:20pm","HU","fall"
"172","american-studies","AMST 370","The History of Dance","Th 3:30pm-5:20pm","WR","fall"
"173","american-studies","AMST 381","Poets' Landscapes","T 1:30pm-3:20pm","WR","fall"
"174","american-studies","AMST 382","Culture of the Early Cold War","Th 1:30pm-3:20pm","HU","spring"
"175","american-studies","AMST 384","American Artists and the African American Book","W 1:30pm-3:20pm","HU","spring"
"176","american-studies","AMST 385","Trauma in American Film and Television","Th 1:30pm-3:20pm","HU","spring"
"177","american-studies","AMST 387","Postwar Queer Avant-Garde Film","M 7pm-9pm; T 1:30pm-3:20pm","HU","fall"
"178","american-studies","AMST 402","Gender and Sexuality in Media and Popular Culture","W 2:30pm-4:30pm","HU","fall"
"179","american-studies","AMST 403","Introduction to Public Humanities","Th 1:30pm-3:20pm","HU","fall"
"180","american-studies","AMST 406","The Spectacle of Disability","M 1:30pm-3:20pm","WR","spring"
"181","american-studies","AMST 411","Introduction to Documentary Studies","MW 2:30pm-3:45pm","HU","fall"
"182","american-studies","AMST 413","Planning Chicago","W 1:30pm-3:20pm","SO","fall"
"183","american-studies","AMST 414","Poetry and Debates on the Value of Arts and Humanities","M 1:30pm-3:20pm","WR","fall"
"184","american-studies","AMST 415","The Worlds of Antonio Gramsci","TTh 1pm-2:15pm","HU","fall"
"185","american-studies","AMST 420","Ralph Ellison in Context","M 1:30pm-3:20pm","WR","spring"
"186","american-studies","AMST 422","Writing Tribal Histories","T 9:25am-11:15am","WR","fall"
